top_200_rank,wrestler_id,performer_name,promotion,brand,gender_division,role_tier,availability,game_overall,top_200_selection_score,draft_value_usd,weekly_hire_rate_usd,initial_draft_contract_scope,initial_draft_contract_weeks,initial_draft_cost_formula,midseason_min_contract_weeks,midseason_default_contract_weeks,midseason_max_contract_weeks,midseason_default_contract_total_usd,midseason_min_contract_total_usd,midseason_max_contract_total_usd,midseason_hiring_cost_formula,appearance_fee_usd,downside_guarantee_usd,release_penalty_pct,morale_cost_if_underbooked,renewal_risk,value_formula_version,value_notes,source_rating_basis,primary_roster_source_url,ratings_source_url
42,wwe_raw_bayley,Bayley,WWE,Raw,Womens,UpperCard,Active,89,86.9,120000,11500,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,138000,92000,276000,weekly_hire_rate_usd * selected_contract_weeks,5750,0,12,5,30,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.operationsports.com/wwe-2k26-ratings-list/
43,aew_aew_samoa_joe,Samoa Joe,AEW,AEW,Mens,UpperCard,Active,88,86.9,117500,11250,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,135000,90000,270000,weekly_hire_rate_usd * selected_contract_weeks,5500,0,12,5,30,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
44,wwe_raw_logan_paul,Logan Paul,WWE,Raw,Mens,Midcard,Active,90,86.8,82500,8000,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,96000,64000,192000,weekly_hire_rate_usd * selected_contract_weeks,4250,0,10,4,24,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.operationsports.com/wwe-2k26-ratings-list/
45,aew_aew_roderick_strong,Roderick Strong,AEW,AEW,Mens,MainEvent,Active,83,86.55,155000,14750,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,177000,118000,354000,weekly_hire_rate_usd * selected_contract_weeks,6750,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
46,aew_aew_darby_allin,Darby Allin,AEW,AEW,Mens,MainEvent,Active,83,86.45,155000,14750,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,177000,118000,354000,weekly_hire_rate_usd * selected_contract_weeks,6750,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
47,wwe_smackdown_nia_jax,Nia Jax,WWE,SmackDown,Womens,UpperCard,Active,88,86.3,115000,11000,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,132000,88000,264000,weekly_hire_rate_usd * selected_contract_weeks,5500,0,12,5,30,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.operationsports.com/wwe-2k26-ratings-list/
48,aew_aew_bobby_lashley,Bobby Lashley,AEW,AEW,Mens,UpperCard,Active,88,86.15,112500,10750,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,129000,86000,258000,weekly_hire_rate_usd * selected_contract_weeks,5250,0,12,5,30,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
49,wwe_raw_bronson_reed,Bronson Reed,WWE,Raw,Mens,UpperCard,Active,88,86.15,110000,10500,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,126000,84000,252000,weekly_hire_rate_usd * selected_contract_weeks,5250,0,12,5,30,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.operationsports.com/wwe-2k26-ratings-list/
50,wwe_smackdown_kevin_owens,Kevin Owens,WWE,SmackDown,Mens,UpperCard,Active,87,86.05,107500,10250,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,123000,82000,246000,weekly_hire_rate_usd * selected_contract_weeks,5000,0,12,5,30,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.operationsports.com/wwe-2k26-ratings-list/
51,aew_aew_mark_davis,Mark Davis,AEW,AEW,Mens,MainEvent,Active,82,85.7,152500,14500,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,174000,116000,348000,weekly_hire_rate_usd * selected_contract_weeks,6500,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
52,wwe_raw_la_knight,LA Knight,WWE,Raw,Mens,Midcard,Active,89,85.4,80000,7750,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,93000,62000,186000,weekly_hire_rate_usd * selected_contract_weeks,4250,0,10,4,24,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.operationsports.com/wwe-2k26-ratings-list/
53,wwe_smackdown_sami_zayn,Sami Zayn,WWE,SmackDown,Mens,Midcard,Active,89,85.4,80000,7750,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,93000,62000,186000,weekly_hire_rate_usd * selected_contract_weeks,4250,0,10,4,24,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.operationsports.com/wwe-2k26-ratings-list/
54,wwe_smackdown_giulia,Giulia,WWE,SmackDown,Womens,UpperCard,Active,86,85,105000,10000,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,120000,80000,240000,weekly_hire_rate_usd * selected_contract_weeks,5000,0,12,5,30,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.operationsports.com/wwe-2k26-ratings-list/
55,wwe_raw_nattie,Nattie,WWE,Raw,Womens,UpperCard,Active,86,85,102500,9750,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,117000,78000,234000,weekly_hire_rate_usd * selected_contract_weeks,5000,0,12,5,30,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.operationsports.com/wwe-2k26-ratings-list/
56,wwe_raw_raquel_rodriguez,Raquel Rodriguez,WWE,Raw,Womens,UpperCard,Active,86,85,100000,9500,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,114000,76000,228000,weekly_hire_rate_usd * selected_contract_weeks,4750,0,12,5,30,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.operationsports.com/wwe-2k26-ratings-list/
57,wwe_smackdown_damian_priest,Damian Priest,WWE,SmackDown,Mens,Midcard,Active,87,84.85,80000,7750,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,93000,62000,186000,weekly_hire_rate_usd * selected_contract_weeks,4000,0,10,4,24,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.operationsports.com/wwe-2k26-ratings-list/
58,aew_aew_ricochet,Ricochet,AEW,AEW,Mens,UpperCard,Active,86,84.8,97500,9250,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,111000,74000,222000,weekly_hire_rate_usd * selected_contract_weeks,4750,0,12,5,30,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
59,wwe_raw_sheamus,Sheamus,WWE,Raw,Mens,UpperCard,Active,86,84.5,95000,9000,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,108000,72000,216000,weekly_hire_rate_usd * selected_contract_weeks,4500,0,12,5,30,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.operationsports.com/wwe-2k26-ratings-list/
60,wwe_raw_finn_b_lor,Finn Bálor,WWE,Raw,Mens,Midcard,Active,88,83.65,80000,7750,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,93000,62000,186000,weekly_hire_rate_usd * selected_contract_weeks,4000,0,10,4,24,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.operationsports.com/wwe-2k26-ratings-list/
61,wwe_raw_dominik_mysterio,Dominik Mysterio,WWE,Raw,Mens,Midcard,Active,87,83.3,80000,7750,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,93000,62000,186000,weekly_hire_rate_usd * selected_contract_weeks,4000,0,10,4,24,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.operationsports.com/wwe-2k26-ratings-list/
62,aew_aew_lena_kross,Lena Kross,AEW,AEW,Womens,MainEvent,Active,79,83,150000,14500,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,174000,116000,348000,weekly_hire_rate_usd * selected_contract_weeks,6500,0,12,6,35,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
63,wwe_smackdown_alexa_bliss,Alexa Bliss,WWE,SmackDown,Womens,Midcard,Active,87,82.75,80000,7750,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,93000,62000,186000,weekly_hire_rate_usd * selected_contract_weeks,4000,0,10,4,24,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.operationsports.com/wwe-2k26-ratings-list/
64,wwe_raw_jimmy_uso,Jimmy Uso,WWE,Raw,Mens,Midcard,Active,86,82.75,77500,7500,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,90000,60000,180000,weekly_hire_rate_usd * selected_contract_weeks,4000,0,10,4,24,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.operationsports.com/wwe-2k26-ratings-list/
65,wwe_smackdown_shinsuke_nakamura,Shinsuke Nakamura,WWE,SmackDown,Mens,Midcard,Active,86,82.75,77500,7500,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,90000,60000,180000,weekly_hire_rate_usd * selected_contract_weeks,4000,0,10,4,24,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.operationsports.com/wwe-2k26-ratings-list/
66,wwe_raw_penta,Penta,WWE,Raw,Mens,Midcard,Active,84,81.65,77500,7500,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,90000,60000,180000,weekly_hire_rate_usd * selected_contract_weeks,4000,0,10,4,24,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.operationsports.com/wwe-2k26-ratings-list/
67,wwe_smackdown_chelsea_green,Chelsea Green,WWE,SmackDown,Womens,Midcard,Active,85,81.6,77500,7500,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,90000,60000,180000,weekly_hire_rate_usd * selected_contract_weeks,4000,0,10,4,24,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.operationsports.com/wwe-2k26-ratings-list/
68,wwe_smackdown_ilja_dragunov,Ilja Dragunov,WWE,SmackDown,Mens,Midcard,Active,85,81.6,77500,7500,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,90000,60000,180000,weekly_hire_rate_usd * selected_contract_weeks,4000,0,10,4,24,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.operationsports.com/wwe-2k26-ratings-list/
69,wwe_raw_roxanne_perez,Roxanne Perez,WWE,Raw,Womens,Midcard,Active,85,81.15,77500,7500,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,90000,60000,180000,weekly_hire_rate_usd * selected_contract_weeks,4000,0,10,4,24,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.operationsports.com/wwe-2k26-ratings-list/
70,wwe_smackdown_trick_williams,Trick Williams,WWE,SmackDown,Mens,Midcard,Active,84,81.05,77500,7500,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,90000,60000,180000,weekly_hire_rate_usd * selected_contract_weeks,4000,0,10,4,24,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.operationsports.com/wwe-2k26-ratings-list/
71,aew_aew_mark_briscoe,Mark Briscoe,AEW,AEW,Mens,Midcard,Active,84,80.9,75000,7250,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,87000,58000,174000,weekly_hire_rate_usd * selected_contract_weeks,4000,0,10,4,24,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,"Game-derived estimate from roster tier, title status, current availability, and known public role",https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
72,aew_aew_tommaso_ciampa,Tommaso Ciampa,AEW,AEW,Mens,Midcard,Active,84,80.9,75000,7250,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,87000,58000,174000,weekly_hire_rate_usd * selected_contract_weeks,3750,0,10,4,24,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
73,aew_aew_christian_cage,Christian Cage,AEW,AEW,Mens,Midcard,Active,84,80.8,75000,7250,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,87000,58000,174000,weekly_hire_rate_usd * selected_contract_weeks,3750,0,10,4,24,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,"Game-derived estimate from roster tier, title status, current availability, and known public role",https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
74,wwe_raw_el_grande_americano,El Grande Americano,WWE,Raw,Mens,Midcard,Active,85,80.6,75000,7250,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,87000,58000,174000,weekly_hire_rate_usd * selected_contract_weeks,3750,0,10,4,24,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.operationsports.com/wwe-2k26-ratings-list/
75,aew_aew_matt_jackson,Matt Jackson,AEW,AEW,Mens,Midcard,Active,85,80.6,75000,7250,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,87000,58000,174000,weekly_hire_rate_usd * selected_contract_weeks,3750,0,10,4,24,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
76,aew_aew_nick_jackson,Nick Jackson,AEW,AEW,Mens,Midcard,Active,85,80.6,75000,7250,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,87000,58000,174000,weekly_hire_rate_usd * selected_contract_weeks,3750,0,10,4,24,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
77,wwe_raw_original_el_grande_americano,Original El Grande Americano,WWE,Raw,Mens,Midcard,Active,85,80.6,72500,7000,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,84000,56000,168000,weekly_hire_rate_usd * selected_contract_weeks,3750,0,10,4,24,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.operationsports.com/wwe-2k26-ratings-list/
78,wwe_smackdown_solo_sikoa,Solo Sikoa,WWE,SmackDown,Mens,Midcard,Active,85,80.6,72500,7000,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,84000,56000,168000,weekly_hire_rate_usd * selected_contract_weeks,3750,0,10,4,24,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.operationsports.com/wwe-2k26-ratings-list/
79,wwe_raw_rey_mysterio,Rey Mysterio,WWE,Raw,Mens,Midcard,Active,84,80.15,72500,7000,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,84000,56000,168000,weekly_hire_rate_usd * selected_contract_weeks,3750,0,10,4,24,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,Sourced video-game overall used as anchor; component attributes derived for GM simulation,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.operationsports.com/wwe-2k26-ratings-list/
80,aew_aew_athena,Athena,AEW,AEW,Womens,Midcard,Active,84,79.95,72500,7000,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,84000,56000,168000,weekly_hire_rate_usd * selected_contract_weeks,3750,0,10,4,24,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,"Game-derived estimate from roster tier, title status, current availability, and known public role",https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
81,aew_aew_hikaru_shida,Hikaru Shida,AEW,AEW,Womens,Midcard,Active,84,79.95,72500,7000,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,84000,56000,168000,weekly_hire_rate_usd * selected_contract_weeks,3750,0,10,4,24,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,"Game-derived estimate from roster tier, title status, current availability, and known public role",https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
82,aew_aew_jamie_hayter,Jamie Hayter,AEW,AEW,Womens,Midcard,Active,84,79.95,72500,7000,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,84000,56000,168000,weekly_hire_rate_usd * selected_contract_weeks,3750,0,10,4,24,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,"Game-derived estimate from roster tier, title status, current availability, and known public role",https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
83,aew_aew_kris_statlander,Kris Statlander,AEW,AEW,Womens,Midcard,Active,84,79.95,70000,6750,full_season,season_length_configured_at_new_game,draft_value_usd,8,12,24,81000,54000,162000,weekly_hire_rate_usd * selected_contract_weeks,3750,0,10,4,24,finance_v5_20_roster_rebalance,Economy v5: initial draft buys full-season roster rights at a 20-person target curve sourced from the active generated Top 200 draft pool. Standard $2M starts can build a balanced roster with healthy operating reserve. No weekly payroll or appearance expense is charged.,"Game-derived estimate from roster tier, title status, current availability, and known public role",https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/
